City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,289.15,63,99,3.82,ZA,1670093259
1,hobart,-42.8794,147.3294,287.07,88,100,2.06,AU,1670093228
2,souillac,-20.5167,57.5167,297.36,78,40,1.54,MU,1670093434
3,ushuaia,-54.8,-68.3,283.94,61,75,9.26,AR,1670093257
4,ponta do sol,32.6667,-17.1,289.82,80,54,5.36,PT,1670093435
5,rikitea,-23.1203,-134.9692,296.54,73,7,6.58,PF,1670093359
6,manicore,-5.8092,-61.3003,303.12,66,0,2.06,BR,1670093435
7,san patricio,28.017,-97.5169,298.08,84,100,2.66,US,1670093274
8,kapaa,22.0752,-159.319,299.33,87,100,5.66,US,1670093136
9,mahebourg,-20.4081,57.7,297.31,78,40,1.54,MU,1670093436
10,westport,41.1415,-73.3579,287.05,89,100,10.8,US,1670093141
11,kushmurun,52.4503,64.6311,253.9,90,5,3.92,KZ,1670093437
12,punta arenas,-53.15,-70.9167,283.21,50,20,12.86,CL,1670093252
13,mataura,-46.1927,168.8643,283.42,60,100,3.53,NZ,1670093251
14,hithadhoo,-0.6,73.0833,301.21,71,100,6.53,MV,1670093437
15,izhma,65.0083,53.9113,252.61,100,78,1.23,RU,1670093438
16,fortuna,40.5982,-124.1573,286.12,62,0,4.47,US,1670093438
17,albany,42.6001,-73.9662,284.48,88,100,0.45,US,1670093134
18,qaanaaq,77.484,-69.3632,256.59,83,100,3.87,GL,1670093262
19,madison,34.7334,-86.5667,293.2,79,100,5.14,US,1670093439
20,torbay,47.6666,-52.7314,274.68,68,75,3.09,CA,1670093439
21,jiaozuo,35.2397,113.2331,275.07,33,100,0.32,CN,1670093439
22,husavik,66.0449,-17.3389,274.55,85,85,4.79,IS,1670093440
23,puerto ayora,-0.7393,-90.3518,298.13,86,86,4.47,EC,1670093252
24,vao,-22.6667,167.4833,298.08,90,98,4.44,NC,1670093155
25,rudbar,30.15,62.6,283.21,32,0,0.66,AF,1670093441
26,shenkursk,62.1091,42.896,263.88,89,100,2.94,RU,1670093441
27,egvekinot,66.3167,-179.1667,262.93,62,100,4.28,RU,1670093441
28,tuktoyaktuk,69.4541,-133.0374,270.15,80,100,18.01,CA,1670093442
29,hambantota,6.1241,81.1185,297.92,87,89,3.99,LK,1670093442
30,conceicao da barra,-18.5933,-39.7322,295.26,95,100,2.17,BR,1670093442
31,avarua,-21.2078,-159.775,301.18,83,75,4.12,CK,1670093268
32,coffs harbour,-30.3,153.1333,289.33,88,40,3.6,AU,1670093314
33,vanimo,-2.6741,141.3028,298.36,90,100,3.54,PG,1670093443
34,clyde river,70.4692,-68.5914,256.28,78,48,11.83,CA,1670093265
35,iqaluit,63.7506,-68.5145,249.37,97,23,1.8,CA,1670093275
36,rumoi,43.9344,141.6428,272.63,72,84,10.55,JP,1670093444
37,cam ranh,11.9214,109.1591,295.13,94,75,2.57,VN,1670093445
